bu,database,schema,tabela,fqn,om_url,snowflake_url,tem_descricao,tem_owner,testes_total,testes_falha,testes_sucesso,testes_sem_execucao
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_FUNDS_LAMINAS_LIQUIDOS,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_FUNDS_LAMINAS_LIQUIDOS,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_FUNDS_LAMINAS_LIQUIDOS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_FUNDS_LAMINAS_LIQUIDOS,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_FUNDS_LIQUIDEZ,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_FUNDS_LIQUIDEZ,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_FUNDS_LIQUIDEZ,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_FUNDS_LIQUIDEZ,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_FUNDS_POSITIONS,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_FUNDS_POSITIONS,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_FUNDS_POSITIONS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_FUNDS_POSITIONS,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_LIQUIDEZ,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_LIQUIDEZ,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_LIQUIDEZ,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_LIQUIDEZ,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_LIQUIDEZ_2,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_LIQUIDEZ_2,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_LIQUIDEZ_2,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_LIQUIDEZ_2,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_SNEL_FUNDS_CPFCNPJ,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_SNEL_FUNDS_CPFCNPJ,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_SNEL_FUNDS_CPFCNPJ,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_SNEL_FUNDS_CPFCNPJ,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_SNEL_FUNDS_POSITIONS,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_SNEL_FUNDS_POSITIONS,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_SNEL_FUNDS_POSITIONS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_SNEL_FUNDS_POSITIONS,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_SNEL_LIQUIDEZ,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_SNEL_LIQUIDEZ,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_SNEL_LIQUIDEZ,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_SNEL_LIQUIDEZ,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_BTG_PL_TOTAL,Suno SnowFlake.SERVING_LAYER.ASSET.VW_BTG_PL_TOTAL,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_BTG_PL_TOTAL,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_BTG_PL_TOTAL,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,VW_BTG_POSITIONS_PROCESSED,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.VW_BTG_POSITIONS_PROCESSED,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.VW_BTG_POSITIONS_PROCESSED,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/view/VW_BTG_POSITIONS_PROCESSED,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,VW_BTG_POSITIONS_STREAM_DT,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.VW_BTG_POSITIONS_STREAM_DT,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.VW_BTG_POSITIONS_STREAM_DT,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/view/VW_BTG_POSITIONS_STREAM_DT,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_COMPLIANCE_EXECUCOESCOMPLIANCE,Suno SnowFlake.SERVING_LAYER.ASSET.VW_COMPLIANCE_EXECUCOESCOMPLIANCE,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_COMPLIANCE_EXECUCOESCOMPLIANCE,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_COMPLIANCE_EXECUCOESCOMPLIANCE,Não,Sim,0,0,0,0
